# OESM — Dati raw World Bank — NON modificare
# Indicatore: NE.EXP.GNFS.ZS
# Paese: San Marino (SM / SMR)
# Unità: valori originali dalla fonte, NON convertiti
# Fonte: World Bank Development Indicators API
# URL API: https://api.worldbank.org/v2/country/SM/indicator/NE.EXP.GNFS.ZS
# Data download: 2026-03-23
# Questo file è una copia fedele dei dati grezzi — non modificare
#
year,value
2015,174.452680954757
2016,173.068169220566
2017,168.778681335859
2018,166.597497668983
2019,163.997239164221
2020,164.47869441727
2021,184.314281544957
2022,197.412351319317
2023,185.992794436005
