# OESM — Dati puliti World Bank — San Marino
# Valori in unità originali (USD per indicatori monetari, % per ratios)
# NON convertiti in EUR — usare script 03 per la conversione
# Generato: 2026-03-23
# Indicatori: 10
# Anni coperti: 1990–2024
# Osservazioni totali: 210
#
country_code,country,year,indicator_id,label_it,label_en,value_original,unit_original,category,eur_convert,source,source_code,source_url,retrieved_date
SMR,San Marino,2003,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),31.4963179659706,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2004,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),33.2718181885424,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2005,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),30.1599863210306,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2006,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),29.303366330046,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2007,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),30.4456554120225,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2008,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),30.7148607417381,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2009,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),36.0723472554054,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2010,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),37.2906898520085,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2011,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),41.7917820276286,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2012,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),44.6508169671737,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2013,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),46.0320867563291,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2014,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),45.6235726666667,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2015,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),45.2377645386161,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2016,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),44.9877172522711,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
